Sat 02/16/2019 17:44:37.25 Initial tracert (trace route) to www.google.com 

Tracing route to www.google.com [216.58.192.4]
over a maximum of 30 hops:

  1    <1 ms    <1 ms    <1 ms  router.asus.com [192.168.1.1] 
  2     4 ms     3 ms    <1 ms  10.1.27.1 
  3    33 ms     2 ms     1 ms  66.29.178.205.static.utbb.net [66.29.178.205] 
  4     2 ms     2 ms     2 ms  204.14.21.158.static.utbb.net [204.14.21.158] 
  5     5 ms     4 ms     4 ms  66.29.191.205.static.utbb.net [66.29.191.205] 
  6    20 ms    20 ms    21 ms  eqixsj-google-gige.google.com [206.223.116.21] 
  7    22 ms    22 ms    22 ms  108.170.242.241 
  8    52 ms    48 ms    50 ms  108.170.237.147 
  9    38 ms    24 ms    23 ms  nuq04s29-in-f4.1e100.net [216.58.192.4] 

Trace complete.
Sat 02/16/2019 17:50:08.80 Pinging www.google.com 
Sat 02/16/2019 17:50:09.85 Pinging www.google.com 
Sat 02/16/2019 17:50:10.89 Pinging www.google.com 
Sat 02/16/2019 17:50:11.93 Pinging www.google.com 
Sat 02/16/2019 17:50:12.97 Pinging www.google.com 
Sat 02/16/2019 17:50:14.01 Pinging www.google.com 
Sat 02/16/2019 17:50:15.06 Pinging www.google.com 
Sat 02/16/2019 17:50:16.10 Pinging www.google.com 
Sat 02/16/2019 17:50:17.14 Pinging www.google.com 
Sat 02/16/2019 17:50:18.18 Pinging www.google.com 
Sat 02/16/2019 17:50:19.23 Pinging www.google.com 
Sat 02/16/2019 17:50:20.27 Pinging www.google.com 
Sat 02/16/2019 17:50:21.31 Pinging www.google.com 
Sat 02/16/2019 17:50:22.36 Pinging www.google.com 
Sat 02/16/2019 17:50:23.40 Pinging www.google.com 
Sat 02/16/2019 17:50:24.45 Pinging www.google.com 
Sat 02/16/2019 17:50:25.49 Pinging www.google.com 
Sat 02/16/2019 17:50:26.54 Pinging www.google.com 
Sat 02/16/2019 17:50:27.58 Pinging www.google.com 
Sat 02/16/2019 17:50:28.63 Pinging www.google.com 
Sat 02/16/2019 17:50:29.68 Pinging www.google.com 
Sat 02/16/2019 17:50:30.72 Pinging www.google.com 
Sat 02/16/2019 17:50:31.76 Pinging www.google.com 
Sat 02/16/2019 17:50:32.83 Pinging www.google.com 
Sat 02/16/2019 17:50:33.88 Pinging www.google.com 
Sat 02/16/2019 17:50:34.93 Pinging www.google.com 
Sat 02/16/2019 17:50:35.98 Pinging www.google.com 
Sat 02/16/2019 17:50:37.02 Pinging www.google.com 
Sat 02/16/2019 17:50:38.07 Pinging www.google.com 
Sat 02/16/2019 17:50:39.11 Pinging www.google.com 
Sat 02/16/2019 17:50:40.15 Pinging www.google.com 
Sat 02/16/2019 17:50:41.20 Pinging www.google.com 
Sat 02/16/2019 17:50:42.24 Pinging www.google.com 
Sat 02/16/2019 17:50:43.28 Pinging www.google.com 
Sat 02/16/2019 17:50:44.33 Pinging www.google.com 
Sat 02/16/2019 17:50:45.37 Pinging www.google.com 
Sat 02/16/2019 17:50:46.41 Pinging www.google.com 
Sat 02/16/2019 17:50:47.45 Pinging www.google.com 
Sat 02/16/2019 17:50:48.49 Pinging www.google.com 
Sat 02/16/2019 17:50:49.54 Pinging www.google.com 
Sat 02/16/2019 17:50:50.58 Pinging www.google.com 
Sat 02/16/2019 17:50:51.62 Pinging www.google.com 
Sat 02/16/2019 17:50:52.67 Pinging www.google.com 
Sat 02/16/2019 17:50:53.71 Pinging www.google.com 
Sat 02/16/2019 17:50:54.75 Pinging www.google.com 
Sat 02/16/2019 17:50:55.80 Pinging www.google.com 
Sat 02/16/2019 17:50:56.84 Pinging www.google.com 
Sat 02/16/2019 17:50:57.88 Pinging www.google.com 
Sat 02/16/2019 17:50:58.92 Pinging www.google.com 
Sat 02/16/2019 17:50:59.96 Pinging www.google.com 
Sat 02/16/2019 17:51:01.01 Pinging www.google.com 
Sat 02/16/2019 17:51:02.05 Pinging www.google.com 
Sat 02/16/2019 17:51:03.09 Pinging www.google.com 
Sat 02/16/2019 17:51:04.14 Pinging www.google.com 
Sat 02/16/2019 17:51:05.18 Pinging www.google.com 
Sat 02/16/2019 17:51:06.22 Pinging www.google.com 
Sat 02/16/2019 17:51:07.26 Pinging www.google.com 
Sat 02/16/2019 17:51:08.30 Pinging www.google.com 
Sat 02/16/2019 17:51:09.34 Pinging www.google.com 
Sat 02/16/2019 17:51:10.39 Pinging www.google.com 
Sat 02/16/2019 17:51:11.43 Pinging www.google.com 
Sat 02/16/2019 17:51:12.47 Pinging www.google.com 
Sat 02/16/2019 17:51:13.52 Pinging www.google.com 
Sat 02/16/2019 17:51:14.56 Pinging www.google.com 
Sat 02/16/2019 17:51:15.60 Pinging www.google.com 
Sat 02/16/2019 17:51:16.64 Pinging www.google.com 
Sat 02/16/2019 17:51:17.69 Pinging www.google.com 
Sat 02/16/2019 17:51:18.73 Pinging www.google.com 
Sat 02/16/2019 17:51:19.77 Pinging www.google.com 
Sat 02/16/2019 17:51:20.81 Pinging www.google.com 
Sat 02/16/2019 17:51:21.85 Pinging www.google.com 
Sat 02/16/2019 17:51:22.89 Pinging www.google.com 
Sat 02/16/2019 17:51:23.94 Pinging www.google.com 
Sat 02/16/2019 17:51:24.98 Pinging www.google.com 
Sat 02/16/2019 17:51:26.02 Pinging www.google.com 
Sat 02/16/2019 17:51:27.07 Pinging www.google.com 
Sat 02/16/2019 17:51:28.11 Pinging www.google.com 
Sat 02/16/2019 17:51:29.15 Pinging www.google.com 
Sat 02/16/2019 17:51:30.19 Pinging www.google.com 
Sat 02/16/2019 17:51:31.23 Pinging www.google.com 
Sat 02/16/2019 17:51:32.27 Pinging www.google.com 
Sat 02/16/2019 17:51:33.32 Pinging www.google.com 
Sat 02/16/2019 17:51:34.36 Pinging www.google.com 
Sat 02/16/2019 17:51:35.40 Pinging www.google.com 
Sat 02/16/2019 17:51:36.44 Pinging www.google.com 
Sat 02/16/2019 17:51:37.48 Pinging www.google.com 
Sat 02/16/2019 17:51:38.53 Pinging www.google.com 
Sat 02/16/2019 17:51:39.57 Pinging www.google.com 
Sat 02/16/2019 17:51:40.61 Pinging www.google.com 
Sat 02/16/2019 17:51:41.67 Pinging www.google.com 
Sat 02/16/2019 17:51:42.71 Pinging www.google.com 
Sat 02/16/2019 17:51:43.76 Pinging www.google.com 
Sat 02/16/2019 17:51:44.80 Pinging www.google.com 
Sat 02/16/2019 17:51:45.85 Pinging www.google.com 
Sat 02/16/2019 17:51:46.89 Pinging www.google.com 
Sat 02/16/2019 17:51:47.93 Pinging www.google.com 
Sat 02/16/2019 17:51:48.97 Pinging www.google.com 
Sat 02/16/2019 17:51:50.01 Pinging www.google.com 
Sat 02/16/2019 17:51:51.06 Pinging www.google.com 
