Sat 02/16/2019 18:55:59.63 Initial tracert (trace route) to www.google.com  

Tracing route to www.google.com [216.58.194.196]
over a maximum of 30 hops:

  1    <1 ms    <1 ms    <1 ms  router.asus.com [192.168.1.1] 
Sat 02/16/2019 19:03:43.39 Pinging www.google.com  
Sat 02/16/2019 19:03:44.43 Pinging www.google.com  
Sat 02/16/2019 19:03:45.48 Pinging www.google.com  
Sat 02/16/2019 19:03:46.52 Pinging www.google.com  
Sat 02/16/2019 19:03:47.57 Pinging www.google.com  
Sat 02/16/2019 19:03:48.61 Pinging www.google.com  
Sat 02/16/2019 19:03:49.66 Pinging www.google.com  
Sat 02/16/2019 19:03:50.71 Pinging www.google.com  
Sat 02/16/2019 19:03:51.75 Pinging www.google.com  
Sat 02/16/2019 19:03:52.80 Pinging www.google.com  
Sat 02/16/2019 19:03:53.85 Pinging www.google.com  
Sat 02/16/2019 19:03:54.90 Pinging www.google.com  
Sat 02/16/2019 19:03:55.98 Pinging www.google.com  
Sat 02/16/2019 19:03:57.02 Pinging www.google.com  
Sat 02/16/2019 19:03:58.12 Pinging www.google.com  
Sat 02/16/2019 19:03:59.16 Pinging www.google.com  
Sat 02/16/2019 19:04:00.25 Pinging www.google.com  
Sat 02/16/2019 19:04:01.29 Pinging www.google.com  
Sat 02/16/2019 19:04:02.34 Pinging www.google.com  
Sat 02/16/2019 19:04:03.38 Pinging www.google.com  
Sat 02/16/2019 19:04:04.43 Pinging www.google.com  
Sat 02/16/2019 19:04:05.47 Pinging www.google.com  
Sat 02/16/2019 19:04:06.52 Pinging www.google.com  
Sat 02/16/2019 19:04:07.56 Pinging www.google.com  
Sat 02/16/2019 19:04:08.61 Pinging www.google.com  
Sat 02/16/2019 19:04:09.66 Pinging www.google.com  
